"Input Sequenceur",,,,
"t0","eps","nom_son","nom","loop"
0,100,"abeille","seq1",1
2,250,"averse_fact","seq2",1
5,150,"chene","seq3",1
2,160,"fakear_chakra","seq4",1
2,17,"feuille_morte","seq5",1
2,120,"foret_brestoise","seq6",1
0,19,"grenouille","seq7",1
2,20,"grenouille_fact","seq8",1
2,21,"lac_canard","seq9",1
2,50,"nid_abeille","seq10",1
0,75,"pic_vert","seq11",1
2,40,"pigeon","seq12",1
2,32,"pluie","seq13",1
2,26,"vent","seq14",1
0,50,"orage","seq15",1
2,50,"musique_brest","seq16",1
0,29,"musique_sud","seq17",1
1,30,"pigeon_fact","seq18",1
2,170,"ruisseau","seq19",1
3,35,"moustique","seq20",1
0,5,"cigale","seq21",1
0,34,"cigale_fact","seq22",1
0,5,"moustique_fact","seq23",1
0,50,"olivier_fact","seq24",1
0,35,"orage_fact","seq25",1
0,5,"roussignol","seq26",1
4,39,"ruisseau_fact","seq27",1
0,5,"aggrafeuse","seq28",1
0,45,"boire","seq29",1
3,42,"feu_artifice","seq30",1
0,16,"froissement","seq31",1
2,5,"ordinateur","seq32",1
0,10,"poignee_porte","seq33",1
0,17,"porte_claque","seq34",1
2,10,"sonnerie","seq35",1
0,17,"verre_casse","seq36",1
0,15,"abeille","seqa",0
5,182,"averse_fact","seqa",0
10,150,"chene","seqa",0
0,16,"pluie","seqb",0
5,180,"vent","seqb",0
10,250,"orage","seqb",0
0,16,"applaudissement","seqc",0
5,180,"chat","seqc",0
10,250,"crocodile","seqc",0
18,150,"electrifier","seqc",0
25,180,"lemur","seqc",0
35,250,"guitare","seqc",0
